country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Viet Nam,2017,Gold,Import,3038,,3.521
Slovenia,2017,Gold,Import,282268,264.886,1.432
Slovenia,2017,Gold,Import,13364,,1.432
Slovenia,2017,Gold,Import,15485547,0.179,1.432
Slovenia,2017,Gold,Import,2861281,0.069,1.432
Spain,2017,Gold,Import,63082,27.182,1.956
Spain,2017,Gold,Import,901083,0.016,1.956
Spain,2017,Gold,Import,298364,0.005,1.956
Sweden,2017,Gold,Import,11112,10.276,1.867
Sweden,2017,Gold,Import,168665,0.003,1.867
Sweden,2017,Gold,Import,1181,,1.867
Switzerland,2017,Gold,Import,524324,69.352,0.534
Switzerland,2017,Gold,Import,25496,0.002,0.534
Switzerland,2017,Gold,Import,10204203,0.28,0.534
Switzerland,2017,Gold,Import,9703337,0.224,0.534
Thailand,2017,Gold,Import,80954,0.002,0.665
Thailand,2017,Gold,Import,71248,0.001,0.665
TÃ¼rkiye,2017,Gold,Import,1713,0.748,
TÃ¼rkiye,2017,Gold,Import,669020,0.015,
TÃ¼rkiye,2017,Gold,Import,20044,0.001,
Ukraine,2017,Gold,Import,65,0.007,14.443
United Kingdom,2017,Gold,Import,91703,70.504,2.683
United Kingdom,2017,Gold,Import,8630,,2.683
United Kingdom,2017,Gold,Import,4133144,0.096,2.683
USA,2017,Gold,Import,32083,21.06,
USA,2017,Gold,Import,2126766,0.045,
USA,2017,Gold,Import,10605,,
USA,2017,Gold,Import,207900,0.005,
USA,2017,Gold,Import,8450,,
Netherlands,2017,Gold,Import,170,0.2,1.299
Qatar,2017,Gold,Import,2274,0.36,0.395
India,2017,Gold,Import,464799,0.011,3.602
United Arab Emirates,2017,Gold,Import,801204,0.026,1.967
Australia,2017,Gold,Import,38520,19.889,1.972
Bahrain,2017,Gold,Import,8275,3.125,1.387
Canada,2017,Gold,Import,45851,19.972,1.603
Germany,2017,Gold,Import,8914,3.024,1.711
Ireland,2017,Gold,Import,461,,0.251
Italy,2017,Gold,Import,22127,10.338,1.326
Japan,2017,Gold,Import,43348,22.032,0.468
Jordan,2017,Gold,Import,5438,2.436,3.324
Rep. of Korea,2017,Gold,Import,15413,8.46,
New Zealand,2017,Gold,Import,486,0.32,1.854
Saudi Arabia,2017,Gold,Import,18908,7.2,-0.852
United Arab Emirates,2017,Gold,Import,21795,9.255,1.967
United Kingdom,2017,Gold,Import,1657466,1036.524,2.683
USA,2017,Gold,Import,258971,105.412,
Canada,2017,Gold,Import,2055952,0.054,1.603
Italy,2017,Gold,Import,483490,0.012,1.326
Russian Federation,2017,Gold,Import,135478,117.58,3.683
